YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1973/8/1,--:--,6309,-999,0
1973/9/1,--:--,6404,-999,0
1973/10/1,--:--,3808,-999,0
1973/11/1,--:--,1878,-999,0
1973/12/1,--:--,1164,-999,0
1974/1/1,--:--,1116,-999,0
1974/2/1,--:--,905,-999,0
1974/3/1,--:--,735,-999,0
1974/4/1,--:--,1168,-999,0
1974/5/1,--:--,1179,-999,0
1974/6/1,--:--,1107,-999,0
1974/7/1,--:--,3352,-999,0
1974/8/1,--:--,8437,-999,0
1974/9/1,--:--,7523,-999,0
1974/10/1,--:--,4218,-999,0
1974/11/1,--:--,1983,-999,0
1974/12/1,--:--,1314,-999,0
1975/1/1,--:--,1224,-999,0
1975/2/1,--:--,934,-999,0
1975/3/1,--:--,724,-999,0
1975/4/1,--:--,1184,-999,0
1975/5/1,--:--,1191,-999,0
1975/6/1,--:--,790,-999,0
1975/7/1,--:--,1866,-999,0
1975/8/1,--:--,8475,-999,0
1975/9/1,--:--,11419,-999,0
1975/10/1,--:--,5675,-999,0
1975/11/1,--:--,2496,-999,0
1975/12/1,--:--,1747,-999,0
1976/1/1,--:--,1400,-999,0
1976/2/1,--:--,1133,-999,0
1976/3/1,--:--,918,-999,0
1976/4/1,--:--,1026,-999,0
1976/5/1,--:--,993,-999,0
1976/6/1,--:--,1242,-999,0
1976/7/1,--:--,2042,-999,0
1976/8/1,--:--,6421,-999,0
1976/9/1,--:--,5671,-999,0
1976/10/1,--:--,2747,-999,0
1976/11/1,--:--,1712,-999,0
1976/12/1,--:--,1329,-999,0
1977/1/1,--:--,1022,-999,0
1977/2/1,--:--,748,-999,0
1977/3/1,--:--,675,-999,0
1977/4/1,--:--,1049,-999,0
1977/5/1,--:--,1142,-999,0
1977/6/1,--:--,1003,-999,0
1977/7/1,--:--,1993,-999,0
1977/8/1,--:--,8176,-999,0
1977/9/1,--:--,5671,-999,0
1977/10/1,--:--,3177,-999,0
1977/11/1,--:--,2492,-999,0
1977/12/1,--:--,1288,-999,0
1978/1/1,--:--,1224,-999,0
1978/2/1,--:--,938,-999,0
1978/3/1,--:--,713,-999,0
1978/4/1,--:--,883,-999,0
1978/5/1,--:--,1052,-999,0
1978/6/1,--:--,1041,-999,0
1978/7/1,--:--,2255,-999,0
1978/8/1,--:--,6869,-999,0
1978/9/1,--:--,5362,-999,0
1978/10/1,--:--,4218,-999,0
1978/11/1,--:--,1724,-999,0
1978/12/1,--:--,1205,-999,0
1979/1/1,--:--,1325,-999,0
1979/2/1,--:--,979,-999,0
1979/3/1,--:--,866,-999,0
1979/4/1,--:--,1141,-999,0
1979/5/1,--:--,1205,-999,0
1979/6/1,--:--,964,-999,0
1979/7/1,--:--,1747,-999,0
1979/8/1,--:--,5152,-999,0
1979/9/1,--:--,4089,-999,0
1979/10/1,--:--,2527,-999,0
1979/11/1,--:--,1415,-999,0
1979/12/1,--:--,1049,-999,0
1980/1/1,--:--,863,-999,0
1980/2/1,--:--,623,-999,0
1980/3/1,--:--,604,-999,0
1980/4/1,--:--,928,-999,0
1980/5/1,--:--,1134,-999,0
1980/6/1,--:--,920,-999,0
1980/7/1,--:--,1933,-999,0
1980/8/1,--:--,7257,-999,0
1980/9/1,--:--,6123,-999,0
1980/10/1,--:--,2164,-999,0
1980/11/1,--:--,1632,-999,0
1980/12/1,--:--,1076,-999,0
1981/1/1,--:--,1008,-999,0
1981/2/1,--:--,774,-999,0
1981/3/1,--:--,686,-999,0
1981/4/1,--:--,1062,-999,0
1981/5/1,--:--,1094,-999,0
1981/6/1,--:--,818,-999,0
1981/7/1,--:--,1586,-999,0
1981/8/1,--:--,6157,-999,0
1981/9/1,--:--,6597,-999,0
1981/10/1,--:--,3831,-999,0
1981/11/1,--:--,1609,-999,0
1981/12/1,--:--,1215,-999,0
1982/1/1,--:--,1008,-999,0
1982/2/1,--:--,938,-999,0
1982/3/1,--:--,706,-999,0
1982/4/1,--:--,1038,-999,0
1982/5/1,--:--,926,-999,0
1982/6/1,--:--,846,-999,0
1982/7/1,--:--,1273,-999,0
1982/8/1,--:--,3935,-999,0
1982/9/1,--:--,4074,-999,0
1982/10/1,--:--,2766,-999,0
1982/11/1,--:--,1539,-999,0
1982/12/1,--:--,1126,-999,0
1983/1/1,--:--,785,-999,0
1983/2/1,--:--,637,-999,0
1983/3/1,--:--,634,-999,0
1983/4/1,--:--,1127,-999,0
1983/5/1,--:--,862,-999,0
1983/6/1,--:--,841,-999,0
1983/7/1,--:--,993,-999,0
1983/8/1,--:--,4178,-999,0
1983/9/1,--:--,5556,-999,0
1983/10/1,--:--,2639,-999,0
1983/11/1,--:--,1782,-999,0
1983/12/1,--:--,1030,-999,0
1984/1/1,--:--,1007,-999,0
1984/2/1,--:--,924,-999,0
1984/3/1,--:--,655,-999,0
1984/4/1,--:--,1005,-999,0
1984/5/1,--:--,939,-999,0
1984/6/1,--:--,714,-999,0
1984/7/1,--:--,1829,-999,0
1984/8/1,--:--,3461,-999,0
1984/9/1,--:--,2234,-999,0
1984/10/1,--:--,1562,-999,0
1984/11/1,--:--,908,-999,0
1984/12/1,--:--,697,-999,0
