YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1926/3/1,--:--,679,-999,0
1926/4/1,--:--,652,-999,0
1926/5/1,--:--,657,-999,0
1926/6/1,--:--,1041,-999,0
1926/7/1,--:--,1851,-999,0
1926/8/1,--:--,8064,-999,0
1926/9/1,--:--,8912,-999,0
1926/10/1,--:--,5563,-999,0
1926/11/1,--:--,2893,-999,0
1926/12/1,--:--,1795,-999,0
1927/1/1,--:--,1437,-999,0
1927/2/1,--:--,1132,-999,0
1927/3/1,--:--,731,-999,0
1927/4/1,--:--,613,-999,0
1927/5/1,--:--,586,-999,0
1927/6/1,--:--,578,-999,0
1927/7/1,--:--,1773,-999,0
1927/8/1,--:--,6832,-999,0
1927/9/1,--:--,7831,-999,0
1927/10/1,--:--,5114,-999,0
1927/11/1,--:--,2125,-999,0
1927/12/1,--:--,1370,-999,0
1928/1/1,--:--,966,-999,0
1928/2/1,--:--,674,-999,0
1928/3/1,--:--,545,-999,0
1928/4/1,--:--,513,-999,0
1928/5/1,--:--,642,-999,0
1928/6/1,--:--,1045,-999,0
1928/7/1,--:--,2807,-999,0
1928/8/1,--:--,7429,-999,0
1928/9/1,--:--,8101,-999,0
1928/10/1,--:--,4554,-999,0
1928/11/1,--:--,2550,-999,0
1928/12/1,--:--,1624,-999,0
1929/1/1,--:--,1299,-999,0
1929/2/1,--:--,921,-999,0
1929/3/1,--:--,675,-999,0
1929/4/1,--:--,570,-999,0
1929/5/1,--:--,668,-999,0
1929/6/1,--:--,1454,-999,0
1929/7/1,--:--,3733,-999,0
1929/8/1,--:--,9483,-999,0
1929/9/1,--:--,9953,-999,0
1929/10/1,--:--,6981,-999,0
1929/11/1,--:--,3595,-999,0
1929/12/1,--:--,1945,-999,0
1930/1/1,--:--,1571,-999,0
1930/2/1,--:--,1186,-999,0
1930/3/1,--:--,825,-999,0
1930/4/1,--:--,667,-999,0
1930/5/1,--:--,649,-999,0
1930/6/1,--:--,736,-999,0
1930/7/1,--:--,2087,-999,0
1930/8/1,--:--,7355,-999,0
1930/9/1,--:--,7137,-999,0
1930/10/1,--:--,4293,-999,0
1930/11/1,--:--,2017,-999,0
1930/12/1,--:--,1366,-999,0
1931/1/1,--:--,1015,-999,0
1931/2/1,--:--,677,-999,0
1931/3/1,--:--,548,-999,0
1931/4/1,--:--,486,-999,0
1931/5/1,--:--,500,-999,0
1931/6/1,--:--,462,-999,0
1931/7/1,--:--,1258,-999,0
1931/8/1,--:--,6309,-999,0
1931/9/1,--:--,8333,-999,0
1931/10/1,--:--,5525,-999,0
1931/11/1,--:--,3055,-999,0
1931/12/1,--:--,1650,-999,0
1932/1/1,--:--,1284,-999,0
1932/2/1,--:--,802,-999,0
1932/3/1,--:--,626,-999,0
1932/4/1,--:--,524,-999,0
1932/5/1,--:--,518,-999,0
1932/6/1,--:--,763,-999,0
1932/7/1,--:--,1892,-999,0
1932/8/1,--:--,7541,-999,0
1932/9/1,--:--,8912,-999,0
1932/10/1,--:--,5936,-999,0
1932/11/1,--:--,2816,-999,0
1932/12/1,--:--,1747,-999,0
1933/1/1,--:--,1568,-999,0
1933/2/1,--:--,1397,-999,0
1933/3/1,--:--,1019,-999,0
1933/4/1,--:--,644,-999,0
1933/5/1,--:--,657,-999,0
1933/6/1,--:--,744,-999,0
1933/7/1,--:--,1422,-999,0
1933/8/1,--:--,5376,-999,0
1933/9/1,--:--,8796,-999,0
1933/10/1,--:--,5637,-999,0
1933/11/1,--:--,3352,-999,0
1933/12/1,--:--,2113,-999,0
1934/1/1,--:--,1564,-999,0
1934/2/1,--:--,1120,-999,0
1934/3/1,--:--,750,-999,0
1934/4/1,--:--,644,-999,0
1934/5/1,--:--,619,-999,0
1934/6/1,--:--,702,-999,0
1934/7/1,--:--,2837,-999,0
1934/8/1,--:--,8251,-999,0
1934/9/1,--:--,9413,-999,0
1934/10/1,--:--,6160,-999,0
1934/11/1,--:--,2854,-999,0
1934/12/1,--:--,1874,-999,0
1935/1/1,--:--,1568,-999,0
1935/2/1,--:--,1178,-999,0
1935/3/1,--:--,798,-999,0
1935/4/1,--:--,655,-999,0
1935/5/1,--:--,686,-999,0
1935/6/1,--:--,1033,-999,0
1935/7/1,--:--,2986,-999,0
1935/8/1,--:--,8549,-999,0
